"ticker","wind1","wind2","wind3","sw1","sw2","sw3","avg_price"
"603185.SH",4,10,20,27,75,13,144.53197129479062
"603195.SH",4,10,24,16,7,137,146.3590260910028
"603259.SH",3,8,21,20,44,123,101.29202738890083
"603260.SH",5,19,0,23,8,73,110.7920471364648
"603288.SH",0,6,38,24,97,67,87.28070420772444
"603290.SH",2,23,33,0,35,134,355.62331581867846
"603369.SH",0,6,48,24,93,117,47.09099790551381
"603392.SH",3,8,36,20,21,10,181.99165871548533
"603486.SH",9,1,41,15,16,30,113.86685801862757
"603501.SH",2,22,6,0,35,228,181.829047183163
"603659.SH",5,19,46,27,99,183,106.40468920218024
"603799.SH",5,19,46,4,22,223,94.41912956400662
"603806.SH",2,22,6,27,75,57,90.12933880165183
"603833.SH",9,1,41,16,7,185,126.73420257095383
"603882.SH",3,17,50,20,44,204,80.5240823109447
"603899.SH",4,7,15,16,91,76,51.96371526914695
"603986.SH",2,22,6,0,35,228,140.62709305155354
"603993.SH",5,19,46,4,110,211,5.475333930936328
"605117.SH",9,1,41,15,100,161,248.35576218786795
"605499.SH",0,6,48,24,71,149,151.17540418996632
"688005.SH",5,19,0,27,99,183,120.43558527380377
"688008.SH",2,22,6,0,35,228,65.18913262381797
"688012.SH",2,22,6,0,35,80,118.48732407484417
"688036.SH",2,23,43,0,78,135,99.39217096274244
"688065.SH",3,8,36,23,8,208,110.91089972176702
"688111.SH",2,15,34,3,102,152,205.3995943722067
"688126.SH",2,22,6,0,35,139,23.401119757092275
"688169.SH",9,1,41,15,16,30,592.7653159972862
"688187.SH",4,10,24,19,86,154,58.43907055049747
"688303.SH",2,22,6,27,75,7,62.02942383366569
"688363.SH",3,8,36,14,112,95,131.46339466934526
"688396.SH",2,22,6,0,35,128,55.4801240143782
"688561.SH",2,15,13,3,102,152,58.68971435854382
"688599.SH",2,22,6,27,75,15,63.63265573155544
"688981.SH",2,22,6,0,35,128,45.88492422235356
